"x.calibrated","x.label","x.units","x.coord","y.calibrated","y.label","y.units","y.coord","group"
1.023569,"x",NA,104,1.939655,"y",NA,254,"orangeGrp"
4.013468,"x",NA,215,0,"y",NA,269,"orangeGrp"
6.976431,"x",NA,325,0,"y",NA,269,"orangeGrp"
9.993266,"x",NA,437,0,"y",NA,269,"orangeGrp"
13.03704,"x",NA,550,0,"y",NA,269,"orangeGrp"
16.02694,"x",NA,661,0,"y",NA,269,"orangeGrp"
2.020202,"x",NA,141,13.96552,"y",NA,161,"cherryGrp"
5.010101,"x",NA,252,13.96552,"y",NA,161,"cherryGrp"
7.973064,"x",NA,362,18.23276,"y",NA,128,"cherryGrp"
10.9899,"x",NA,474,16.2931,"y",NA,143,"cherryGrp"
14.00673,"x",NA,586,12.02586,"y",NA,176,"cherryGrp"
17.02357,"x",NA,698,12.02586,"y",NA,176,"cherryGrp"
3.016835,"x",NA,178,9.827586,"y",NA,193,"kiwiGrp"
8.996633,"x",NA,400,16.03448,"y",NA,145,"kiwiGrp"
6.03367,"x",NA,290,12.93103,"y",NA,169,"kiwiGrp"
12.01347,"x",NA,512,24.05172,"y",NA,83,"kiwiGrp"
15.05724,"x",NA,625,19.00862,"y",NA,122,"kiwiGrp"
18.04714,"x",NA,736,9.827586,"y",NA,193,"kiwiGrp"
