"x.calibrated","x.label","x.units","x.coord","y.calibrated","y.label","y.units","y.coord","group"
1.023569,"x",NA,103,29.62963,"y",NA,158,"orangeGrp"
4.013468,"x",NA,214,29.62963,"y",NA,158,"orangeGrp"
7.003367,"x",NA,325,25.92593,"y",NA,173,"orangeGrp"
10.0202,"x",NA,437,17.77778,"y",NA,206,"orangeGrp"
13.0101,"x",NA,548,3.703704,"y",NA,263,"orangeGrp"
16.05387,"x",NA,661,0.9876543,"y",NA,274,"orangeGrp"
18.9899,"x",NA,770,1.975309,"y",NA,270,"orangeGrp"
2.020202,"x",NA,140,18.76543,"y",NA,202,"cherryGrp"
5.010101,"x",NA,251,14.32099,"y",NA,220,"cherryGrp"
8,"x",NA,362,17.03704,"y",NA,209,"cherryGrp"
10.9899,"x",NA,473,33.08642,"y",NA,144,"cherryGrp"
14.00673,"x",NA,585,29.38272,"y",NA,159,"cherryGrp"
16.99663,"x",NA,696,15.30864,"y",NA,216,"cherryGrp"
19.9596,"x",NA,806,36.2963,"y",NA,131,"cherryGrp"
3.043771,"x",NA,178,38.51852,"y",NA,122,"kiwiGrp"
6.060606,"x",NA,290,27.90123,"y",NA,165,"kiwiGrp"
8.996633,"x",NA,399,25.67901,"y",NA,174,"kiwiGrp"
12.01347,"x",NA,511,16.54321,"y",NA,211,"kiwiGrp"
15.0303,"x",NA,623,29.38272,"y",NA,159,"kiwiGrp"
18.07407,"x",NA,736,18.51852,"y",NA,203,"kiwiGrp"
21.0101,"x",NA,845,49.62963,"y",NA,77,"kiwiGrp"
