"x.calibrated","x.label","x.units","x.coord","y.calibrated","y.label","y.units","y.coord","group"
1.024719,"x",NA,110,27.15517,"y",NA,140,"orangeGrp"
3.991011,"x",NA,220,41.37931,"y",NA,74,"orangeGrp"
7.011236,"x",NA,332,16.16379,"y",NA,191,"orangeGrp"
9.977528,"x",NA,442,16.16379,"y",NA,191,"orangeGrp"
12.99775,"x",NA,554,17.02586,"y",NA,187,"orangeGrp"
15.99101,"x",NA,665,0,"y",NA,266,"orangeGrp"
19.01124,"x",NA,777,23.27586,"y",NA,158,"orangeGrp"
21.97753,"x",NA,887,0,"y",NA,266,"orangeGrp"
1.995506,"x",NA,146,28.23276,"y",NA,135,"cherryGrp"
4.961798,"x",NA,256,37.28448,"y",NA,93,"cherryGrp"
7.982022,"x",NA,368,15.30172,"y",NA,195,"cherryGrp"
10.94831,"x",NA,478,30.60345,"y",NA,124,"cherryGrp"
13.99551,"x",NA,591,25.64655,"y",NA,147,"cherryGrp"
16.9618,"x",NA,701,14.43966,"y",NA,199,"cherryGrp"
19.98202,"x",NA,813,23.49138,"y",NA,157,"cherryGrp"
22.94831,"x",NA,923,20.0431,"y",NA,173,"cherryGrp"
3.047191,"x",NA,185,38.36207,"y",NA,88,"kiwiGrp"
6.013483,"x",NA,295,28.87931,"y",NA,132,"kiwiGrp"
9.006742,"x",NA,406,26.07759,"y",NA,145,"kiwiGrp"
12,"x",NA,517,25,"y",NA,150,"kiwiGrp"
14.96629,"x",NA,627,28.01724,"y",NA,136,"kiwiGrp"
18.01348,"x",NA,740,35.99138,"y",NA,99,"kiwiGrp"
21.03371,"x",NA,852,16.81034,"y",NA,188,"kiwiGrp"
24,"x",NA,962,29.9569,"y",NA,127,"kiwiGrp"
