"x.calibrated","x.label","x.units","x.coord","y.calibrated","y.label","y.units","y.coord","group"
1.998723,"x",NA,128,8.044693,"y",NA,339,"orangeGrp"
2.997446,"x",NA,145,0.8379888,"y",NA,382,"orangeGrp"
3.996169,"x",NA,162,2.011173,"y",NA,375,"orangeGrp"
5.05364,"x",NA,180,6.03352,"y",NA,351,"orangeGrp"
5.934866,"x",NA,195,4.860335,"y",NA,358,"orangeGrp"
6.992337,"x",NA,213,1.005587,"y",NA,381,"orangeGrp"
15.98084,"x",NA,366,1.005587,"y",NA,381,"orangeGrp"
18.97701,"x",NA,417,3.01676,"y",NA,369,"orangeGrp"
21.97318,"x",NA,468,3.01676,"y",NA,369,"orangeGrp"
25.0281,"x",NA,520,21.95531,"y",NA,256,"cherryGrp"
27.02554,"x",NA,554,26.98324,"y",NA,226,"cherryGrp"
29.02299,"x",NA,588,21.95531,"y",NA,256,"cherryGrp"
30.02171,"x",NA,605,14.58101,"y",NA,300,"cherryGrp"
31.07918,"x",NA,623,23.96648,"y",NA,244,"cherryGrp"
32.01916,"x",NA,639,10.89385,"y",NA,322,"cherryGrp"
32.95913,"x",NA,655,51.28492,"y",NA,81,"cherryGrp"
34.0166,"x",NA,673,5.865922,"y",NA,352,"cherryGrp"
42.00639,"x",NA,809,28.82682,"y",NA,215,"cherryGrp"
46.00128,"x",NA,877,19.94413,"y",NA,268,"cherryGrp"
47,"x",NA,894,32.84916,"y",NA,191,"cherryGrp"
