"x.calibrated","x.label","x.units","x.coord","y.calibrated","y.label","y.units","y.coord","group"
0.8894231,"x",NA,93,4.963504,"y",NA,412,"orangeGrp"
1.884615,"x",NA,111,8.029197,"y",NA,391,"orangeGrp"
2.935096,"x",NA,130,1.89781,"y",NA,433,"orangeGrp"
4.040865,"x",NA,150,4.963504,"y",NA,412,"orangeGrp"
4.980769,"x",NA,167,1.021898,"y",NA,439,"orangeGrp"
5.975962,"x",NA,185,3.941606,"y",NA,419,"orangeGrp"
7.081731,"x",NA,205,11.09489,"y",NA,370,"orangeGrp"
9.016827,"x",NA,240,4.817518,"y",NA,413,"orangeGrp"
11.11779,"x",NA,278,1.89781,"y",NA,433,"orangeGrp"
15.26442,"x",NA,353,26.86131,"y",NA,262,"cherryGrp"
16.25962,"x",NA,371,33.13869,"y",NA,219,"cherryGrp"
19.35577,"x",NA,427,29.05109,"y",NA,247,"cherryGrp"
22.45192,"x",NA,483,30.07299,"y",NA,240,"cherryGrp"
24.4976,"x",NA,520,33.13869,"y",NA,219,"cherryGrp"
25.49279,"x",NA,538,24.08759,"y",NA,281,"cherryGrp"
28.58894,"x",NA,594,24.08759,"y",NA,281,"cherryGrp"
29.58413,"x",NA,612,25.9854,"y",NA,268,"cherryGrp"
31.62981,"x",NA,649,30.07299,"y",NA,240,"cherryGrp"
33.73077,"x",NA,687,41.0219,"y",NA,165,"cherryGrp"
35.77644,"x",NA,724,38.10219,"y",NA,185,"cherryGrp"
36.71635,"x",NA,741,23.94161,"y",NA,282,"cherryGrp"
38.81731,"x",NA,779,22.0438,"y",NA,295,"cherryGrp"
41.96875,"x",NA,836,38.9781,"y",NA,179,"cherryGrp"
45.00962,"x",NA,891,28.0292,"y",NA,254,"cherryGrp"
