"x.calibrated","x.label","x.units","x.coord","y.calibrated","y.label","y.units","y.coord","group"
1.021689,"x",NA,91,2.86121,"y",NA,167,"orangeGrp"
1.997717,"x",NA,136,3.309609,"y",NA,146,"orangeGrp"
2.995434,"x",NA,182,3.41637,"y",NA,141,"orangeGrp"
3.993151,"x",NA,228,1.366548,"y",NA,237,"orangeGrp"
4.990868,"x",NA,274,4.6121,"y",NA,85,"orangeGrp"
5.988584,"x",NA,320,3.758007,"y",NA,125,"orangeGrp"
6.986301,"x",NA,366,3.779359,"y",NA,124,"orangeGrp"
7.984018,"x",NA,412,1.003559,"y",NA,254,"orangeGrp"
9.003425,"x",NA,459,0.4697509,"y",NA,279,"orangeGrp"
10.00114,"x",NA,505,0.7046263,"y",NA,268,"orangeGrp"
10.99886,"x",NA,551,1.729537,"y",NA,220,"orangeGrp"
11.99658,"x",NA,597,0.2775801,"y",NA,288,"orangeGrp"
12.99429,"x",NA,643,1.11032,"y",NA,249,"orangeGrp"
13.99201,"x",NA,689,1.494662,"y",NA,231,"orangeGrp"
14.98973,"x",NA,735,0.1921708,"y",NA,292,"orangeGrp"
15.98744,"x",NA,781,0.9822064,"y",NA,255,"orangeGrp"
17.00685,"x",NA,828,1.19573,"y",NA,245,"orangeGrp"
18.00457,"x",NA,874,0.8540925,"y",NA,261,"orangeGrp"
20,"x",NA,966,0.2562278,"y",NA,289,"orangeGrp"
