"x.calibrated","x.label","x.units","x.coord","y.calibrated","y.label","y.units","y.coord","group"
1,"x",NA,83,6.216028,"y",NA,86,"orangeGrp"
2.018994,"x",NA,131,7.275261,"y",NA,48,"orangeGrp"
2.995531,"x",NA,177,6.188153,"y",NA,87,"orangeGrp"
3.993296,"x",NA,224,7.581882,"y",NA,37,"orangeGrp"
5.012291,"x",NA,272,1.393728,"y",NA,259,"orangeGrp"
5.988827,"x",NA,318,1.58885,"y",NA,252,"orangeGrp"
7.007821,"x",NA,366,0.7804878,"y",NA,281,"orangeGrp"
8.005587,"x",NA,413,2.425087,"y",NA,222,"orangeGrp"
9.024581,"x",NA,461,1.198606,"y",NA,266,"orangeGrp"
10.00112,"x",NA,507,1.756098,"y",NA,246,"orangeGrp"
10.99888,"x",NA,554,0.8083624,"y",NA,280,"orangeGrp"
13.01564,"x",NA,649,1.58885,"y",NA,252,"orangeGrp"
