"x.calibrated","x.label","x.units","x.coord","y.calibrated","y.label","y.units","y.coord","group"
1,"x",NA,98,8.790036,"y",NA,55,"orangeGrp"
1.977143,"x",NA,143,8.256228,"y",NA,70,"orangeGrp"
2.997714,"x",NA,190,7.437722,"y",NA,93,"orangeGrp"
3.996571,"x",NA,236,8.683274,"y",NA,58,"orangeGrp"
4.995429,"x",NA,282,8.256228,"y",NA,70,"orangeGrp"
5.994286,"x",NA,328,0.747331,"y",NA,281,"orangeGrp"
6.993143,"x",NA,374,0.9608541,"y",NA,275,"orangeGrp"
7.992,"x",NA,420,0.8540925,"y",NA,278,"orangeGrp"
8.990857,"x",NA,466,0.9252669,"y",NA,276,"orangeGrp"
10.01143,"x",NA,513,1.13879,"y",NA,270,"orangeGrp"
11.01029,"x",NA,559,0.9252669,"y",NA,276,"orangeGrp"
13.008,"x",NA,651,0.6405694,"y",NA,284,"orangeGrp"
