"x.calibrated","x.label","x.units","x.coord","y.calibrated","y.label","y.units","y.coord","group"
1,"x",NA,88,12.77778,"y",NA,76,"orangeGrp"
2.020134,"x",NA,136,12.11111,"y",NA,88,"orangeGrp"
3.019016,"x",NA,183,14.5,"y",NA,45,"orangeGrp"
3.996644,"x",NA,229,1.722222,"y",NA,275,"orangeGrp"
5.016779,"x",NA,277,2.944444,"y",NA,253,"orangeGrp"
6.01566,"x",NA,324,2.944444,"y",NA,253,"orangeGrp"
7.014541,"x",NA,371,3.222222,"y",NA,248,"orangeGrp"
8.013423,"x",NA,418,2.388889,"y",NA,263,"orangeGrp"
10.01119,"x",NA,512,2.388889,"y",NA,263,"orangeGrp"
