"x.calibrated","x.label","x.units","x.coord","y.calibrated","y.label","y.units","y.coord","group"
1,"x",NA,95,4.350365,"y",NA,147,"orangeGrp"
2.016279,"x",NA,141,6.131387,"y",NA,86,"orangeGrp"
3.010465,"x",NA,186,4.262774,"y",NA,150,"orangeGrp"
4.004651,"x",NA,231,4.467153,"y",NA,143,"orangeGrp"
4.998837,"x",NA,276,5.19708,"y",NA,118,"orangeGrp"
6.015116,"x",NA,322,4.729927,"y",NA,134,"orangeGrp"
7.009302,"x",NA,367,7.328467,"y",NA,45,"orangeGrp"
8.003488,"x",NA,412,5.89781,"y",NA,94,"orangeGrp"
8.997674,"x",NA,457,0.6423358,"y",NA,274,"orangeGrp"
10.01395,"x",NA,503,0.6715328,"y",NA,273,"orangeGrp"
11.03023,"x",NA,549,0.4671533,"y",NA,280,"orangeGrp"
12.00233,"x",NA,593,0.9051095,"y",NA,265,"orangeGrp"
13.0186,"x",NA,639,0.6715328,"y",NA,273,"orangeGrp"
15.00698,"x",NA,729,0.9051095,"y",NA,265,"orangeGrp"
